part_number,manufacturer,package,description,status
STM32OGR5QI,STMicroelectronics,MSOP,STMicroelectronics Op-Amp,active
STM32IQBTD,STMicroelectronics,TQFP,STMicroelectronics Microcontroller,active
STM32TNJIJ,STMicroelectronics,SSOP,STMicroelectronics Logic Gate,active
STM3239QJS,STMicroelectronics,DIP,STMicroelectronics Timer,active
STM32C2MPYY,STMicroelectronics,LQFP,STMicroelectronics Op-Amp,active
STM32K5P,STMicroelectronics,LQFP,STMicroelectronics Timer,active
STM32W5PXF,STMicroelectronics,TQFP,STMicroelectronics Regulator,active
STM32RR4BJ,STMicroelectronics,MSOP,STMicroelectronics Regulator,active
STM32JLG,STMicroelectronics,DIP,STMicroelectronics Regulator,active
STM32FHS735,STMicroelectronics,LQFP,STMicroelectronics Regulator,active
STM8TD8MFS,STMicroelectronics,QFP,STMicroelectronics Regulator,active
STM8YUZ53I,STMicroelectronics,BGA,STMicroelectronics Logic Gate,active
STM889E,STMicroelectronics,SOT,STMicroelectronics Logic Gate,active
STM8WC6G,STMicroelectronics,QFP,STMicroelectronics Logic Gate,active
STM870R,STMicroelectronics,BGA,STMicroelectronics Op-Amp,active
STM8KOO40,STMicroelectronics,DIP,STMicroelectronics Microcontroller,active
STM8R4WV6,STMicroelectronics,DIP,STMicroelectronics Regulator,active
STM8C50K9,STMicroelectronics,SOIC,STMicroelectronics Microcontroller,active
STM8ZU3S3,STMicroelectronics,TQFP,STMicroelectronics Microcontroller,active
STM81QRY4,STMicroelectronics,LQFP,STMicroelectronics Regulator,active
STHRFZD,STMicroelectronics,SOIC,STMicroelectronics Op-Amp,active
STSJ5,STMicroelectronics,SOIC,STMicroelectronics Microcontroller,active
STQWP,STMicroelectronics,LQFP,STMicroelectronics Logic Gate,active
ST0LH,STMicroelectronics,BGA,STMicroelectronics Regulator,active
STNKR8YJ,STMicroelectronics,MSOP,STMicroelectronics Logic Gate,active
STI7S,STMicroelectronics,SSOP,STMicroelectronics Logic Gate,active
STP9N9,STMicroelectronics,TQFP,STMicroelectronics Regulator,active
ST99G3,STMicroelectronics,SOIC,STMicroelectronics Timer,active
ST338P7,STMicroelectronics,DIP,STMicroelectronics Timer,active
STW95VKY,STMicroelectronics,TQFP,STMicroelectronics Microcontroller,active
L78UX06D,STMicroelectronics,TQFP,STMicroelectronics Op-Amp,active
L78CJZBL,STMicroelectronics,SOIC,STMicroelectronics Timer,active
